Regione;Età;Totale Maschi;Totale Femmine
Friuli-Venezia Giulia;95;317;1168
Friuli-Venezia Giulia;96;245;909
Friuli-Venezia Giulia;97;170;705
Friuli-Venezia Giulia;98;102;499
Friuli-Venezia Giulia;99;74;417
Friuli-Venezia Giulia;100;72;463
Friuli-Venezia Giulia;Totale;583280;615473
Liguria;0;4479;4302
Liguria;1;4433;4230
Liguria;2;4639;4345
Liguria;3;5041;4690
Liguria;4;5185;4778
Liguria;5;5264;4990
Liguria;6;5660;5243
Liguria;7;5736;5256
Liguria;8;5959;5650
Liguria;9;5852;5567
Liguria;10;6081;5890
Liguria;11;6269;6200
Liguria;12;6474;6290
Liguria;13;6560;5920
Liguria;14;6479;6194
Liguria;15;6566;6072
Liguria;16;6516;6200
Liguria;17;6497;6001
Liguria;18;6654;6183
Liguria;19;6679;6342
Liguria;20;6985;6358
Liguria;21;7058;6207
Liguria;22;7201;6322
Liguria;23;7081;6402
Liguria;24;7364;6410
Liguria;25;7026;6411
Liguria;26;6947;6538
Liguria;27;7138;6623
Liguria;28;7573;6906
Liguria;29;7262;7008
Liguria;30;7370;7018
Liguria;31;7270;7026
Liguria;32;7429;7181
Liguria;33;7360;6925
Liguria;34;7290;6913
Liguria;35;7534;7271
Liguria;36;7457;7249
Liguria;37;7666;7393
Liguria;38;7683;7373
Liguria;39;7883;7824
Liguria;40;7793;7791
Liguria;41;7968;8312
Liguria;42;8551;9038
Liguria;43;9123;9503
Liguria;44;9805;9965
Liguria;45;10472;10673
Liguria;46;10995;11534
Liguria;47;11355;11563
Liguria;48;11994;12152
Liguria;49;12122;12298
Liguria;50;11982;12599
Liguria;51;12366;12831
Liguria;52;12505;12869
Liguria;53;12194;13050
Liguria;54;12806;13400
Liguria;55;13032;13653
Liguria;56;13240;13628
Liguria;57;12268;13015
Liguria;58;11710;12583
Liguria;59;11351;12138
Liguria;60;10960;11691
Liguria;61;10796;11630
Liguria;62;10270;11160
Liguria;63;10217;10923
Liguria;64;9874;10679
Liguria;65;9440;10428
Liguria;66;9410;10304
Liguria;67;9003;10014
Liguria;68;8676;9711
Liguria;69;8495;9824
Liguria;70;9132;10292
Liguria;71;8978;10630
Liguria;72;9505;11093
Liguria;73;9554;11412
Liguria;74;9419;11554
Liguria;75;6756;8299
Liguria;76;7494;9330
Liguria;77;7145;9017
Liguria;78;6990;9341
Liguria;79;7069;9486
Liguria;80;7423;10115
Liguria;81;6992;9809
Liguria;82;6533;9426
Liguria;83;5709;8571
Liguria;84;4924;7668
Liguria;85;4468;7348
Liguria;86;3917;6583
Liguria;87;3476;6145
Liguria;88;2993;5796
Liguria;89;2536;5245
Liguria;90;2226;4844
Liguria;91;1698;3985
Liguria;92;1337;3205
Liguria;93;985;2642
Liguria;94;673;2079
Liguria;95;486;1643
Liguria;96;319;1241
Liguria;97;218;909
Liguria;98;138;692
Liguria;99;99;437
Liguria;100;82;661
Liguria;Totale;723647;786158
